Microwshed_ID,Pond_Count,Area_Acres,Total_Pond_Area_Acres,Total_Pondshed_Area_Acres,Pond /_MWS Area_Percentage,Pondshed /_MWS Area_Percentage,Pond_Controllable_Volume_Ac-Ft,Total_Nitrogen_(Lb/Yr),Controllable_Nitrogen_(Lb/Yr),Total_Phosphorous_(Lb/Yr),Percent_Impervious,Percent_Urban
35,13,555.53,92.79,392.75,16.70,70.70,241.15,nan,nan,nan,24.37,56.04
205,14,493.99,54.68,301.72,11.07,61.08,142.37,nan,nan,nan,24.97,47.44
159,1,213.75,71.30,213.67,33.36,99.97,185.46,nan,nan,nan,2.46,nan
261,6,251.11,27.90,136.36,11.11,54.30,72.96,nan,nan,nan,4.04,7.55
271,3,281.04,24.84,114.21,8.84,40.64,65.03,nan,nan,nan,8.52,12.51
201,7,140.28,26.35,110.72,18.79,78.93,68.96,nan,nan,nan,26.50,46.30
59,3,225.05,37.24,109.23,16.55,48.54,97.17,nan,nan,nan,6.16,6.66
162,1,96.42,71.30,96.42,73.95,100.00,185.46,nan,nan,nan,2.03,nan
74,4,93.00,33.08,92.97,35.57,99.97,86.40,nan,nan,nan,8.63,45.27
266,3,106.85,26.74,91.20,25.02,85.35,69.94,nan,nan,nan,5.85,7.39
91,8,85.51,30.03,67.82,35.11,79.31,78.47,nan,nan,nan,1.92,12.28
47,1,91.86,30.16,67.67,32.83,73.67,78.82,nan,nan,nan,1.68,6.73
218,2,76.22,15.61,65.80,20.48,86.33,41.11,nan,nan,nan,18.34,26.51
324,1,101.68,22.32,63.18,21.95,62.14,58.50,nan,nan,nan,1.18,6.51
51,3,81.84,36.37,62.02,44.44,75.78,94.92,nan,nan,nan,37.97,85.67
233,1,59.40,32.39,59.40,54.53,100.00,84.60,nan,nan,nan,0.58,nan
272,3,53.75,24.84,52.86,46.21,98.35,65.03,nan,nan,nan,5.62,5.37
210,5,68.35,20.40,48.51,29.85,70.97,53.53,nan,nan,nan,33.88,58.26
36,5,49.58,45.45,46.00,91.66,92.76,118.45,nan,nan,nan,38.53,82.92
326,1,41.77,22.32,41.77,53.43,100.00,58.50,nan,nan,nan,1.28,6.66
234,1,49.93,32.39,38.84,64.86,77.78,84.60,nan,nan,nan,0.16,0.92
69,2,38.58,40.45,38.58,104.85,100.00,105.48,nan,nan,nan,14.61,38.24
38,1,37.56,37.97,37.56,101.08,100.00,99.07,nan,nan,nan,14.68,37.69
90,4,36.61,23.40,36.61,63.90,100.00,61.28,nan,nan,nan,2.12,11.67
269,2,35.20,18.49,35.03,52.51,99.52,48.56,nan,nan,nan,2.51,4.24
219,1,33.46,17.92,33.46,53.55,100.00,47.08,nan,nan,nan,13.86,31.73
160,1,30.85,71.30,30.85,231.13,100.00,185.46,nan,nan,nan,1.13,nan
140,1,23.00,71.30,23.00,310.05,100.00,185.46,nan,nan,nan,6.57,nan
